botdetectionids,botscore,botscoresrc,bottags,clientcountry,clientip,clientrequesthost,clientrequestmethod,clientrequestpath,clientrequesturi,date,edgeendtimestamp,edgeresponsestatus,edgestarttimestamp,originresponsestatus,rayid
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:13:28Z,200,2026-04-03T13:13:26Z,200,9e6854a6ca645b88
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:12:09Z,200,2026-04-03T13:12:08Z,200,9e6852bd8802f994
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:13:14Z,200,2026-04-03T13:13:14Z,200,9e6854577e925bb7
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:11:49Z,200,2026-04-03T13:11:48Z,200,9e685241eab4f97c
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:12:39Z,200,2026-04-03T13:12:38Z,200,9e68537af8b0f99a
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:11:34Z,200,2026-04-03T13:11:33Z,200,9e6851e4eb1dcf44
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:10:13Z,200,2026-04-03T13:10:12Z,200,9e684fe9bf8df97e
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:10:28Z,200,2026-04-03T13:10:27Z,200,9e6850484abca5dc
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:10:59Z,200,2026-04-03T13:10:58Z,200,9e68510a298a2794
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:09:54Z,200,2026-04-03T13:09:53Z,200,9e684f72d84abd61
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:08:39Z,200,2026-04-03T13:08:38Z,200,9e684d9e6bcefc52
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:08:44Z,200,2026-04-03T13:08:44Z,200,9e684dc03bdafc52
null,null,null,null,us,216.73.216.136,granilink.com,GET,/robots.txt,/robots.txt,2026-04-03,2026-04-03T13:09:07Z,200,2026-04-03T13:09:07Z,0,9e684e52febc9318
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:09:19Z,200,2026-04-03T13:09:18Z,200,9e684e9919659947
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:08:10Z,200,2026-04-03T13:08:10Z,200,9e684ceaaf36b605
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:07:39Z,200,2026-04-03T13:07:38Z,200,9e684c288986f96c
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:06:29Z,200,2026-04-03T13:06:28Z,200,9e684a729a4c5d3b
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:07:04Z,200,2026-04-03T13:07:03Z,200,9e684b4ce93ec31a
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:07:04Z,200,2026-04-03T13:07:04Z,200,9e684b4e999f9ce0
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:05:34Z,200,2026-04-03T13:05:34Z,200,9e68491c7f73d8dc
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:05:57Z,200,2026-04-03T13:05:56Z,200,9e6849aaee0d5baa
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:04:50Z,200,2026-04-03T13:04:48Z,200,9e6848019a28c242
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:05:23Z,200,2026-04-03T13:05:22Z,200,9e6848d538155b4e
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:04:15Z,200,2026-04-03T13:04:14Z,200,9e68472d3f439a97
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:04:01Z,200,2026-04-03T13:04:00Z,200,9e6846d50f76cd5a
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:03:44Z,200,2026-04-03T13:03:44Z,200,9e68466cfd3a8eb1
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:03:59Z,200,2026-04-03T13:03:58Z,200,9e6846c92a09f406
null,null,null,null,ru,94.180.243.40,api.granilink.com,POST,/api/vpn/logs/send,/api/vpn/logs/send,2026-04-03,2026-04-03T13:04:04Z,202,2026-04-03T13:04:04Z,202,9e6846eaac218bde
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/status,/api/vpn/status?device_id=ca4f7d8b-cc0e-4f7e-bbae-2eb033ba7ef6,2026-04-03,2026-04-03T13:04:01Z,499,2026-04-03T13:03:58Z,0,9e6846c8aded5814
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/assignment/debe65a8-6ff6-48bf-9e59-fa310db85e72/result,/api/internal/node/v1/assignment/debe65a8-6ff6-48bf-9e59-fa310db85e72/result?node_id=1,2026-04-03,2026-04-03T13:04:02Z,200,2026-04-03T13:04:02Z,200,9e6846de4cd05b31
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/servers,/api/vpn/servers,2026-04-03,2026-04-03T13:03:59Z,200,2026-04-03T13:03:58Z,200,9e6846c76a8fc287
null,null,null,null,ru,94.180.243.40,api.granilink.com,GET,/api/vpn/devices,/api/vpn/devices,2026-04-03,2026-04-03T13:04:01Z,200,2026-04-03T13:04:00Z,200,9e6846d5beeca7a8
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:03:09Z,200,2026-04-03T13:03:08Z,200,9e684590ab535bb3
null,null,null,null,nl,94.131.107.227,api.granilink.com,GET,/api/vpn/status,/api/vpn/status?device_id=ca4f7d8b-cc0e-4f7e-bbae-2eb033ba7ef6,2026-04-03,2026-04-03T13:03:07Z,200,2026-04-03T13:03:05Z,200,9e68457cd9f69721
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/servers,/api/vpn/servers,2026-04-03,2026-04-03T13:03:40Z,200,2026-04-03T13:03:40Z,200,9e684654bbffc2b1
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:03:40Z,200,2026-04-03T13:03:40Z,200,9e684655bd36d87b
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/vpn/logs/send,/api/vpn/logs/send,2026-04-03,2026-04-03T13:03:33Z,202,2026-04-03T13:03:33Z,202,9e684628389b5bb2
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/status,/api/vpn/status?device_id=ca4f7d8b-cc0e-4f7e-bbae-2eb033ba7ef6,2026-04-03,2026-04-03T13:03:57Z,200,2026-04-03T13:03:41Z,200,9e68465c19dcc287
null,null,null,null,ru,94.180.243.40,api.granilink.com,POST,/api/vpn/disconnect,/api/vpn/disconnect,2026-04-03,2026-04-03T13:04:00Z,200,2026-04-03T13:04:00Z,200,9e6846d22f6880fa
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:02:30Z,200,2026-04-03T13:02:29Z,200,9e68449cba58c289
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:02:38Z,200,2026-04-03T13:02:37Z,200,9e6844cc79145b5a
null,null,null,null,nl,94.131.107.227,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:03:06Z,200,2026-04-03T13:03:05Z,200,9e68457cde320b5e
null,null,null,null,nl,94.131.107.227,api.granilink.com,GET,/api/vpn/servers,/api/vpn/servers,2026-04-03,2026-04-03T13:03:06Z,200,2026-04-03T13:03:05Z,200,9e68457cd95966ca
null,null,null,null,ru,94.180.243.40,api.granilink.com,POST,/api/vpn/session/prepare,/api/vpn/session/prepare,2026-04-03,2026-04-03T13:03:14Z,200,2026-04-03T13:03:10Z,200,9e684597e8931348
